data;obitos
2020-02-25;0
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;0
2020-03-05;0
2020-03-06;0
2020-03-07;0
2020-03-08;0
2020-03-09;0
2020-03-10;0
2020-03-11;0
2020-03-12;0
2020-03-13;0
2020-03-14;0
2020-03-15;0
2020-03-16;0
2020-03-17;1
2020-03-18;3
2020-03-19;2
2020-03-20;5
2020-03-21;7
2020-03-22;7
2020-03-23;9
2020-03-24;12
2020-03-25;11
2020-03-26;20
2020-03-27;15
2020-03-28;22
2020-03-29;22
2020-03-30;23
2020-03-31;42
2020-04-01;40
2020-04-02;58
2020-04-03;60
2020-04-04;73
2020-04-05;54
2020-04-06;67
2020-04-07;114
2020-04-08;133
2020-04-09;141
2020-04-10;115
2020-04-11;68
2020-04-12;99
2020-04-13;105
2020-04-14;204
2020-04-15;204
2020-04-16;188
2020-04-17;217
2020-04-18;206
2020-04-19;115
2020-04-20;113
2020-04-21;166
2020-04-22;165
2020-04-23;407
2020-04-24;357
2020-04-25;346
2020-04-26;189
2020-04-27;338
2020-04-28;474
2020-04-29;449
2020-04-30;435
2020-05-01;428
2020-05-02;395
2020-05-03;301
2020-05-04;296
2020-05-05;600
2020-05-06;614
2020-05-07;611
2020-05-08;749
2020-05-09;732
2020-05-10;496
2020-05-11;396
2020-05-12;881
2020-05-13;749
2020-05-14;844
2020-05-15;824
2020-05-16;816
2020-05-17;485
2020-05-18;674
2020-05-19;1179
2020-05-20;888
2020-05-21;1188
2020-05-22;999
2020-05-23;967
2020-05-24;653
2020-05-25;807
2020-05-26;1039
2020-05-27;1086
2020-05-28;1156
2020-05-29;1124
2020-05-30;956
2020-05-31;480
2020-06-01;623
2020-06-02;1262
2020-06-03;1349
2020-06-04;1473
2020-06-05;1005
2020-06-06;904
2020-06-07;525
2020-06-08;679
2020-06-09;1272
2020-06-10;1274
2020-06-11;1239
2020-06-12;909
2020-06-13;892
2020-06-14;612
2020-06-15;627
2020-06-16;1282
2020-06-17;1269
2020-06-18;1238
2020-06-19;1206
2020-06-20;1022
2020-06-21;641
2020-06-22;654
2020-06-23;1374
2020-06-24;1185
2020-06-25;1141
2020-06-26;990
2020-06-27;1109
2020-06-28;552
2020-06-29;692
2020-06-30;1280
2020-07-01;1038
2020-07-02;1252
